"id","title","link","place","physicalDescription__label","physicalDescription__content","date__label","date__content","name__label","name__content"
"edanmdm-npg_NPG.71.34","Cecilia Beaux Self-Portrait","https://npg.si.edu/object/npg_NPG.71.34","","Medium","Oil on canvas","Date","c. 1889-1894","Artist","Cecilia Beaux, 1 May 1855 - 17 Sep 1942"
"","","","","Dimensions","Stretcher: 45.4 x 35.2 x 2.5cm (17 7/8 x 13 7/8 x 1"")","","","Sitter","Cecilia Beaux, 1 May 1855 - 17 Sep 1942"
"","","","","Dimensions","Frame: 57.2 x 46.7 x 5.4cm (22 1/2 x 18 3/8 x 2 1/8"")","","","",""
"edanmdm-npg_NPG.95.20","William Gilmore Simms","https://npg.si.edu/object/npg_NPG.95.20","","Medium","Oil on canvas","","","Artist","Unidentified Artist"
"","","","","Dimensions","Stretcher: 67.3 x 55.2 x 2.5cm (26 1/2 x 21 3/4 x 1"")","","","Sitter","William Gilmore Simms, 17 Apr 1806 - 11 Jun 1870"
"","","","","Dimensions","Frame: 82.6 x 70.2 x 7cm (32 1/2 x 27 5/8 x 2 3/4"")","","","",""
"edanmdm-npg_NPG.75.13","John Stevens","https://npg.si.edu/object/npg_NPG.75.13","","Medium","Oil on canvas","Date","c. 1830","Artist","Unidentified Artist"
"","","","","Dimensions","Stretcher: 92.1 x 74.3 x 2.5cm (36 1/4 x 29 1/4 x 1"")","","","Sitter","John Stevens, 1749 - 6 Mar 1838"
"","","","","Dimensions","Frame: 118.7 x 100.3 x 12.1cm (46 3/4 x 39 1/2 x 4 3/4"")","","","",""
"edanmdm-npg_NPG.79.252","John Russwurm","https://npg.si.edu/object/npg_NPG.79.252","","Medium","Oil on canvas","Date","c. 1850","Artist","Unidentified Artist"
"","","","","Dimensions","Stretcher (Verified): 20.6 × 16.2 cm (8 1/8 × 6 3/8"")","","","Sitter","John Russwurm, 1 Oct 1799 - 9 Jun 1851"
"","","","","Dimensions","Frame (Verified): 25.4 × 20.6 × 2.5 cm (10 × 8 1/8 × 1"")","","","",""
"","","","","Dimensions","Emphasis Panel: 60 × 55.1 cm (23 5/8 × 21 11/16"")","","","",""
"edanmdm-npg_NPG.74.44","Andrew Carnegie","https://npg.si.edu/object/npg_NPG.74.44","","Medium","Oil on canvas","Date","c. 1905","Artist","Unidentified Artist"
"","","","","Dimensions","Stretcher: 128.3 x 101.9 x 3.8cm (50 1/2 x 40 1/8 x 1 1/2"")","","","Sitter","Andrew Carnegie, 25 Nov 1835 - 11 Aug 1919"
"","","","","Dimensions","Frame: 150.5 x 125.7 x 5.1cm (59 1/4 x 49 1/2 x 2"")","","","",""
"edanmdm-npg_NPG.77.22","John Singleton Copley Self-Portrait","https://npg.si.edu/object/npg_NPG.77.22","","Medium","Oil on canvas","Date","c. 1780-1784","Artist","John Singleton Copley, 3 Jul 1738 - 9 Sep 1815"
"","","","","Dimensions","Stretcher: 56.5 diameter x 2.5cm (22 1/4 diameter x 1"")","","","Sitter","John Singleton Copley, 3 Jul 1738 - 9 Sep 1815"
"","","","","Dimensions","Frame: 81.3 x 81.3 x 14.6cm (32 x 32 x 5 3/4"")","","","",""
"edanmdm-npg_S_NPG.89.12","Elizabeth Washington Gamble Wirt","https://npg.si.edu/object/npg_S_NPG.89.12","","Medium","Oil on canvas","Date","c. 1809-1810","Artist","Cephas Thompson, 1 Jul 1775 - 6 Nov 1856"
"","","","","Dimensions","Frame: 111.1 x 94.6 x 6.4cm (43 3/4 x 37 1/4 x 2 1/2"")","","","Former attribution","John Vanderlyn, 15 Oct 1775 - 23 Sep 1852"
"","","","","","","","","Sitter","Elizabeth Washington Gamble Wirt, 30 Jan 1784 - 24 Jan 1857"
"edanmdm-npg_NPG.86.214","John Summerfield","https://npg.si.edu/object/npg_NPG.86.214","","Medium","Oil on panel","Date","c. 1821-1825","Artist","William Jewett, 1792 - 1874"
"","","","","Dimensions","Panel: 26 x 20.6 x 0.6cm (10 1/4 x 8 1/8 x 1/4"")","","","Sitter","John Summerfield, 1798 - 1825"
"","","","","Dimensions","Frame: 40 x 34.6 x 5.4cm (15 3/4 x 13 5/8 x 2 1/8"")","","","",""
"edanmdm-npg_NPG.2004.1","John Winthrop","https://npg.si.edu/object/npg_NPG.2004.1","Massachusetts","Medium","Oil on canvas","Date","c. 1800 after an early 17th century painting","Artist","Unidentified Artist"
"","","","","Dimensions","Sight: 74.6 x 62.2cm (29 3/8 x 24 1/2"")","","","Sitter","John Winthrop, 1587/8 - 1649"
"","","","","Dimensions","Frame: 93.7 x 81.4 x 6.7cm (36 7/8 x 32 1/16 x 2 5/8"")","","","",""
"edanmdm-npg_NPG.2011.62","Thomas McKenney","https://npg.si.edu/object/npg_NPG.2011.62","","Medium","Oil on canvas","Date","1856","Artist","Charles Loring Elliott, 12 Oct 1812 - 25 Aug 1868"
"","","","","Dimensions","Frame: 77.5 x 64.8cm (30 1/2 x 25 1/2"")","","","Sitter","Thomas Loraine McKenney, 21 Mar 1785 - 20 Feb 1859"
"edanmdm-npg_NPG.2017.57","Pauline Morton Sabin","https://npg.si.edu/object/npg_NPG.2017.57","","Medium","Oil on canvas","Date","1926","Artist","Philip Alexius de László, 1869 - 1937"
"","","","","Dimensions","Sight: 73.7 x 59.7 cm (29 x 23 1/2"")","","","Sitter","Pauline Morton Sabin, 23 Apr 1887 - 27 Dec 1955"
"","","","","Dimensions","Frame: 94.6 × 80.3 × 7 cm (37 1/4 × 31 5/8 × 2 3/4"")","","","",""
"","","","","Dimensions","Stretcher: 76.5 × 63.5 × 2.4 cm (30 1/8 × 25 × 15/16"")","","","",""
"edanmdm-npg_S_NPG.2000.4","Samuel Griffin","https://npg.si.edu/object/npg_S_NPG.2000.4","","Medium","Oil on canvas","Date","1770","Artist","Cosmo John Alexander, 1724 - 1772"
"","","","","Dimensions","76.2 x 63.5 cm (30 x 25"")","","","Possibly","Samuel Griffin, 1746 - 1810"
"","","","","Dimensions","Stretcher: 76.4 × 63.2 × 2.9 cm (30 1/16 × 24 7/8 × 1 1/8"")","","","Formerly identified as","Cyrus Griffin, 1748 - 1810"
"edanmdm-npg_NPG.88.53","Edward Hicks Painting the Peaceable Kingdom","https://npg.si.edu/object/npg_NPG.88.53","","Medium","Oil on canvas","Date","1839","Artist","Thomas Hicks, 18 Oct 1823 - 8 Oct 1890"
"","","","","Dimensions","Stretcher: 91.4 x 73.7 x 3.8cm (36 x 29 x 1 1/2"")","","","Sitter","Edward Hicks, 4 Apr 1780 - 23 Aug 1849"
"","","","","Dimensions","Frame: 114.3 x 96.5 x 7.6cm (45 x 38 x 3"")","","","",""
"edanmdm-npg_NPG.70.42","Stephen Arnold Douglas","https://npg.si.edu/object/npg_NPG.70.42","United States","Medium","Oil on canvas","Date","1860","Artist","Duncan Styles"
"","","","","Dimensions","Stretcher: 128.3 x 97.2 x 2.5cm (50 1/2 x 38 1/4 x 1"")","","","Sitter","Stephen Arnold Douglas, 23 Apr 1813 - 3 Jun 1861"
"","","","","Dimensions","Frame: 141.6 x 110.8 x 5.7cm (55 3/4 x 43 5/8 x 2 1/4"")","","","",""
"edanmdm-npg_NPG.83.162","Charlotte Perkins Stetson Gilman","https://npg.si.edu/object/npg_NPG.83.162","","Medium","Oil on panel","Date","before 1880","Artist","Ellen Day Hale, 11 Feb 1855 - 10 Feb 1940"
"","","","","Dimensions","Panel: 40.6 x 30.2 x 0.6cm (16 x 11 7/8 x 1/4"")","","","Sitter","Charlotte Perkins Stetson Gilman, 3 Jul 1860 - 17 Aug 1935"
"","","","","Dimensions","Frame: 51.4 x 40.6 x 5.4cm (20 1/4 x 16 x 2 1/8"")","","","",""
"edanmdm-npg_NPG.72.17","John Charles Frémont","https://npg.si.edu/object/npg_NPG.72.17","United States","Medium","Oil on canvas","","","Artist","William Smith Jewett, 6 Aug 1812 - 3 Dec 1873"
"","","","","Dimensions","37.8 x 28cm (14 7/8 x 11"")","","","Sitter","John Charles Frémont, 21 Jan 1813 - 13 Jul 1890"
"","","","","Dimensions","Frame: 47.6 x 38.4 x 5.1cm (18 3/4 x 15 1/8 x 2"")","","","",""
"edanmdm-npg_NPG.77.244","Charles Herbert Woodbury","https://npg.si.edu/object/npg_NPG.77.244","","Medium","Oil on canvas","Date","1921","Artist","John Singer Sargent, 12 Jan 1856 - 15 Apr 1925"
"","","","","Dimensions","Frame: 86 × 57.2 × 6.4cm (33 7/8 × 22 1/2 × 2 1/2"")","","","Sitter","Charles Herbert Woodbury, 1864 - 21 Jan 1940"
"","","","","Dimensions","Stretcher: 71.4 × 41.9 × 2.5 cm (28 1/8 × 16 1/2 × 1"")","","","",""
"edanmdm-npg_NPG.68.13","Henry James","https://npg.si.edu/object/npg_NPG.68.13","","Medium","Oil on canvas","Date","1908","Artist","Jacques-Emile Blanche, 1861 - 1942"
"","","","","Dimensions","Stretcher: 99.7 x 80.6 x 2.5cm (39 1/4 x 31 3/4 x 1"")","","","Sitter","Henry James, 15 Apr 1843 - 28 Feb 1916"
"","","","","Dimensions","Frame: 120.7 x 102.9 x 7.6cm (47 1/2 x 40 1/2 x 3"")","","","",""
"edanmdm-npg_NPG.2002.69","Red Jacket (Sagoyewatha)","https://npg.si.edu/object/npg_NPG.2002.69","","Medium","Oil on canvas","Date","1868","Artist","Thomas Hicks, 18 Oct 1823 - 8 Oct 1890"
"","","","","Dimensions","Stretcher: 81.3 x 55.9cm (32 x 22"")","","","Copy after","Robert Walter Weir, 18 Jun 1803 - 1 May 1889"
"","","","","Dimensions","Frame: 113 x 82.6 x 10.2cm (44 1/2 x 32 1/2 x 4"")","","","Sitter","Red Jacket, c. 1758 - 20 Jan 1830"
"edanmdm-npg_NPG.2008.5","Thomas Paine","https://npg.si.edu/object/npg_NPG.2008.5","","Medium","Oil on canvas","Date","c. 1792","Artist","Laurent Dabos, 1761 - 1835"
"","","","","Dimensions","Stretcher: 34 x 26cm (13 3/8 x 10 1/4"")","","","Sitter","Thomas Paine, 29 Jan 1737 - 8 Jun 1809"
"","","","","Dimensions","Frame: 50.8 x 43.5cm (20 x 17 1/8"")","","","",""
"edanmdm-npg_NPG.68.12","John Joseph Pershing","https://npg.si.edu/object/npg_NPG.68.12","","Medium","Oil on canvas","Date","c. 1919","Artist","Sir William Newenham Montague Orpen, 27 Nov 1878 - 29 Sep 1931"
"","","","","Dimensions","Stretcher: 89.9 x 74.6 x 2.5cm (35 3/8 x 29 3/8 x 1"")","","","Sitter","John Joseph Pershing, 13 Sep 1860 - 15 Jul 1948"
"","","","","Dimensions","Frame: 110.5 x 95.3 x 5.1cm (43 1/2 x 37 1/2 x 2"")","","","",""
"edanmdm-npg_NPG.2015.102","Daniel Boone","https://npg.si.edu/object/npg_NPG.2015.102","Franklin","Medium","Oil on canvas","Date","1820","Artist","Chester Harding, 1 Sep 1792 - 10 Apr 1866"
"","","","","Dimensions","Stretcher: 74.3 × 61.6 cm (29 1/4 × 24 1/4"")","","","Sitter","Daniel Boone, 11 Feb 1734 - 26 Sep 1820"
"","","","","Dimensions","Frame: 88.9 × 76.8 × 5.1 cm (35 × 30 1/4 × 2"")","","","",""
"edanmdm-npg_S_NPG.2017.74","Harriet Bradford Tiffany Stewart","https://npg.si.edu/object/npg_S_NPG.2017.74","","Medium","Oil on canvas","Date","19th century","Artist","Unidentified Artist"
"","","","","Dimensions","Stretcher: 92.1 × 71.1 × 2.9 cm (36 1/4 × 28 × 1 1/8"")","","","Sitter","Harriet Bradford Tiffany Stewart, 1798 - 1830"
"","","","","Dimensions","Frame: 112.2 × 92.1 × 10.2 cm (44 3/16 × 36 1/4 × 4"")","","","",""
"edanmdm-npg_NPG.70.45","Thomas Paul","https://npg.si.edu/object/npg_NPG.70.45","","Medium","Oil on wood panel","Date","c. 1825","Artist","Thomas Badger, 1792 - 1868"
"","","","","Dimensions","Panel: 20.3 x 16.5cm (8 x 6 1/2"")","","","Sitter","Thomas Paul, 1773 - 13 Apr 1831"
"","","","","Dimensions","Frame: 33.3 x 29.2 x 6.4cm (13 1/8 x 11 1/2 x 2 1/2"")","","","",""
"edanmdm-npg_NPG.80.208","Samuel F. B. Morse Self-Portrait","https://npg.si.edu/object/npg_NPG.80.208","","Medium","Oil on millboard","Date","1812","Artist","Samuel Finley Breese Morse, 27 Apr 1791 - 2 Apr 1872"
"","","","","Dimensions","Board: 27.3 x 22.5 x 0.3cm (10 3/4 x 8 7/8 x 1/8"")","","","Sitter","Samuel Finley Breese Morse, 27 Apr 1791 - 2 Apr 1872"
"","","","","Dimensions","Frame: 35.6 x 30.5 x 4.8cm (14 x 12 x 1 7/8"")","","","",""
"edanmdm-npg_NPG.91.204","James Armstrong Thome","https://npg.si.edu/object/npg_NPG.91.204","","Medium","Oil on canvas","Date","c. 1840","Attribution","Nathaniel Jocelyn, 1796 - 1881"
"","","","","Dimensions","Stretcher: 86.4 x 69.5cm (34 x 27 3/8"")","","","Sitter","James Armstrong Thome, 20 Jan 1813 - 4 Mar 1873"
"","","","","Dimensions","Frame: 105.7 x 87.6 x 6cm (41 5/8 x 34 1/2 x 2 3/8"")","","","",""
"edanmdm-npg_NPG.65.55","Nathaniel Hawthorne","https://npg.si.edu/object/npg_NPG.65.55","","Medium","Oil on canvas","Date","1862","Artist","Emanuel Gottlieb Leutze, 24 May 1816 - 18 Jul 1868"
"","","","","Dimensions","Stretcher: 75.9 x 64.1 x 2.5cm (29 7/8 x 25 1/4 x 1"")","","","Sitter","Nathaniel Hawthorne, 4 Jul 1804 - 19 May 1864"
"","","","","Dimensions","Frame: 101.6 x 91.8 x 10.2cm (40 x 36 1/8 x 4"")","","","",""
"edanmdm-npg_NPG.2010.13","H. H. Richardson","https://npg.si.edu/object/npg_NPG.2010.13","","Medium","Oil on canvas","Date","1886","Artist","Hubert Von Herkomer, 26 May 1849 - 31 Mar 1914"
"","","","","Dimensions","Stretcher: 113 × 142.9 × 3.8 cm (44 1/2 × 56 1/4 × 1 1/2"")","","","Sitter","H. H. Richardson, 29 Sep 1838 - 27 Apr 1886"
"","","","","Dimensions","Frame: 127.6 × 158.4 × 5.7 cm (50 1/4 × 62 3/8 × 2 1/4"")","","","",""
"edanmdm-npg_NPG.76.6","Bayard Taylor","https://npg.si.edu/object/npg_NPG.76.6","New York City","Medium","Oil on canvas","Date","1855","Artist","Thomas Hicks, 18 Oct 1823 - 8 Oct 1890"
"","","","","Dimensions","62.2 x 75.6cm (24 1/2 x 29 3/4"")","","","Sitter","Bayard Taylor, 11 Jan 1825 - 19 Dec 1878"
"","","","","Dimensions","Frame: 76.2 x 88.6 x 6.4cm (30 x 34 7/8 x 2 1/2"")","","","",""
"edanmdm-npg_NPG.74.45","Frederick Douglass","https://npg.si.edu/object/npg_NPG.74.45","","Medium","Oil on canvas","Date","c. 1845","Artist","Unidentified Artist"
"","","","","Dimensions","Stretcher: 70.2 x 57.5 x 3.8cm (27 5/8 x 22 5/8 x 1 1/2"")","","","Former attribution","Elisha Livermore Hammond, 1779 - 1882"
"","","","","Dimensions","Frame: 82.6 x 69.9 x 8.3cm (32 1/2 x 27 1/2 x 3 1/4"")","","","Sitter","Frederick Douglass, Feb 1818 - 20 Feb 1895"
"edanmdm-npg_NPG.78.53","George Benjamin Luks","https://npg.si.edu/object/npg_NPG.78.53","","Medium","Oil on canvas","Date","1899","Artist","William James Glackens, 13 Mar 1870 - 22 May 1938"
"","","","","Dimensions","Stretcher: 74.6 x 61.9cm (29 3/8 x 24 3/8"")","","","Sitter","George Benjamin Luks, 13 Aug 1867 - 29 Oct 1933"
"","","","","Dimensions","Frame: 99.7 x 86.7 x 7.6cm (39 1/4 x 34 1/8 x 3"")","","","",""
"edanmdm-npg_NPG.89.205","Charles Willson Peale Self-Portrait","https://npg.si.edu/object/npg_NPG.89.205","United States","Medium","Oil on canvas","Date","c. 1791","Artist","Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827"
"","","","","Dimensions","Frame: 84.8 x 72.1 x 7.3cm (33 3/8 x 28 3/8 x 2 7/8"")","","","Sitter","Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827"
"edanmdm-npg_NPG.88.1","Rufus King","https://npg.si.edu/object/npg_NPG.88.1","New York","Medium","Oil on panel","Date","1819-1820","Artist","Gilbert Stuart, 3 Dec 1755 - 9 Jul 1828"
"","","","","Dimensions","Panel: 77.5 x 64.8 x 0.3cm (30 1/2 x 25 1/2 x 1/8"")","","","Sitter","Rufus King, 24 Mar 1755 - 29 Apr 1827"
"","","","","Dimensions","Frame: 108.6 x 95.9 x 11.4cm (42 3/4 x 37 3/4 x 4 1/2"")","","","",""
"edanmdm-npg_NPG.96.50","Leonard Wood","https://npg.si.edu/object/npg_NPG.96.50","District of Columbia","Medium","Oil on canvas","Date","1903","Artist","John Singer Sargent, 12 Jan 1856 - 15 Apr 1925"
"","","","","Dimensions","76.5 x 63.8cm (30 1/8 x 25 1/8"")","","","Sitter","Leonard Wood, 9 Oct 1860 - 7 Aug 1927"
"","","","","Dimensions","Frame: 91.4 x 78.7 x 6.4cm (36 x 31 x 2 1/2"")","","","",""
"edanmdm-npg_NPG.78.218","Andrew Oliver","https://npg.si.edu/object/npg_NPG.78.218","Massachusetts","Medium","Oil on copper","Date","c. 1758","Artist","John Singleton Copley, 3 Jul 1738 - 9 Sep 1815"
"","","","","Dimensions","Frame: 21 x 18.4 x 1.9cm (8 1/4 x 7 1/4 x 3/4"")","","","Sitter","Andrew Oliver, 28 Mar 1706 - 3 Mar 1774"
"edanmdm-npg_NPG.71.36","William Clark","https://npg.si.edu/object/npg_NPG.71.36","United States","Medium","Oil on canvas","Date","1832","Artist","George Catlin, 26 Jul 1796 - 23 Dec 1872"
"","","","","Dimensions","72.4 x 59.7cm (28 1/2 x 23 1/2"")","","","Sitter","William Clark, 1 Aug 1770 - 1 Sep 1838"
"","","","","Dimensions","Frame: 87.9 x 75.6 x 8.3cm (34 5/8 x 29 3/4 x 3 1/4"")","","","",""
"edanmdm-npg_NPG.74.2","John Brown","https://npg.si.edu/object/npg_NPG.74.2","","Medium","Oil on canvas","Date","1872","Artist","Ole Peter Hansen Balling, 13 Apr 1823 - 1 May 1906"
"","","","","Dimensions","Stretcher: 76.5 x 64.5 x 3.8cm (30 1/8 x 25 3/8 x 1 1/2"")","","","Sitter","John Brown, 9 May 1800 - 2 Dec 1859"
"","","","","Dimensions","Frame: 109.2 x 96.5 x 12.7cm (43 x 38 x 5"")","","","",""
"edanmdm-npg_NPG.86.142","Alla Nazimova","https://npg.si.edu/object/npg_NPG.86.142","","Medium","Oil on canvas","Date","1910","Artist","Edward Emerson Simmons, 1852 - 1931"
"","","","","Dimensions","Stretcher: 61.3 x 61.3 x 3.2cm (24 1/8 x 24 1/8 x 1 1/4"")","","","Sitter","Alla Nazimova, 4 Jun 1878 - 13 Jul 1945"
"","","","","Dimensions","Frame: 81.9 x 82.6 x 8.3cm (32 1/4 x 32 1/2 x 3 1/4"")","","","",""
"edanmdm-npg_NPG.2011.64","Benjamin Latrobe","https://npg.si.edu/object/npg_NPG.2011.64","","Medium","Oil on canvas","Date","c. 1790","Artist","Charles Frederick Von Breda, 16 Aug 1759 - 1 Dec 1818"
"","","","","Dimensions","Stretcher: 18.1 × 13.3 cm (7 1/8 × 5 1/4"")","","","Sitter","Benjamin Henry Latrobe, 1 May 1764 - 3 Sep 1820"
"","","","","Dimensions","Frame (estimate): 24.1 × 20.3 × 3.8 cm (9 1/2 × 8 × 1 1/2"")","","","",""
"edanmdm-npg_NPG.72.15","Charlotte Cushman","https://npg.si.edu/object/npg_NPG.72.15","","Medium","Oil on canvas","Date","1853","Artist","William Page, Jan 1811 - 30 Sep 1885"
"","","","","Dimensions","Stretcher: 71.1 x 56.8 x 3.8cm (28 x 22 3/8 x 1 1/2"")","","","Sitter","Charlotte Saunders Cushman, 23 Jul 1816 - 17 Feb 1876"
"","","","","Dimensions","Frame: 95.9 x 81.3 x 12.1cm (37 3/4 x 32 x 4 3/4"")","","","",""
"edanmdm-npg_NPG.82.136","Edith Wharton","https://npg.si.edu/object/npg_NPG.82.136","","Medium","Oil on canvas","Date","1870","Artist","Edward Harrison May, 1824 - 1887"
"","","","","Dimensions","Stretcher: 73 x 60.3 x 3.8cm (28 3/4 x 23 3/4 x 1 1/2"")","","","Sitter","Edith Newbold Jones Wharton, 24 Jan 1862 - 11 Aug 1937"
"","","","","Dimensions","Frame: 89.5 x 71.1 x 7.6cm (35 1/4 x 28 x 3"")","","","",""
"edanmdm-npg_NPG.75.37","Isaac Merrit Singer","https://npg.si.edu/object/npg_NPG.75.37","","Medium","Oil on canvas","Date","1869","Artist","Edward Harrison May, 1824 - 1887"
